CU URL,Title,Comment,ActiveWFP,Local URL,Region,Country,SubRegion,Season,Type,Draft or released,Inactive,Specific date?,Public,Behind VPN,User,Password,Group
https://iridl.ldeo.columbia.edu/fbfmaproom2/southern-oromia-ond,,,TRUE,,East Africa,Ethiopia,Oromia,OND,Design Dashboard,Released,Active,,Unlocked,,,,
https://fist.iri.columbia.edu/publications/docs/Ethiopia_AA_Manual_2024/,,,TRUE,,East Africa,Ethiopia,,,Project Report,Released,Active,,Unlocked,,,,
https://fist.iri.columbia.edu/publications/docs/ethiopia_aa_final_report_2024/,,,TRUE,,East Africa,Ethiopia,,,Project Report,Released,Active,,Unlocked,,,,
https://iridl.ldeo.columbia.edu/fbfmaproom2/niger,,,TRUE,,West Africa,Niger,,JAS,Design Dashboard,Released,Active,2022,Unlocked,,,,
https://iridl.ldeo.columbia.edu/fbfmaproom2/malawi,,,FALSE,,Southern Africa,Malawi,,DJF,Design Dashboard,Released,,,Unlocked,,,,
https://iridl.ldeo.columbia.edu/fbfmaproom2/madagascar,,,TRUE,,Southern Africa,Madagascar,Grand Sud,DJF,Design Dashboard,Released,,,Unlocked,,,,
https://iridl.ldeo.columbia.edu/fbfmaproom2/madagascar-ndj,,,TRUE,,Southern Africa,Madagascar,Grand Sud,NDJ,Design Dashboard,Released,Active,,Unlocked,,,,
https://iridl.ldeo.columbia.edu/fbfmaproom2/madagascar-ond,,,TRUE,,Southern Africa,Madagascar,Grand Sud,OND,Design Dashboard,Released,,,Unlocked,,,,
https://iridl.ldeo.columbia.edu/fbfmaproom2/guatemala,,,TRUE,,Latin America,Guatemala,,OND,Design Dashboard,Released,,,Unlocked,,,,
https://iridl.ldeo.columbia.edu/fbfmaproom2/guatemala-jja,,,TRUE,,Latin America,Guatemala,,JJA,Design Dashboard,Released,Active,,Unlocked,,,,
https://iridl.ldeo.columbia.edu/fbfmaproom2/guatemala-aso,,,TRUE,,Latin America,Guatemala,,ASO,Design Dashboard,Released,Active,,Unlocked,,,,
https://iridl.ldeo.columbia.edu/fbfmaproom2/guatemala-may,,,TRUE,,Latin America,Guatemala,,May,Design Dashboard,Discontinued,,,Unlocked,,,,
https://iridl.ldeo.columbia.edu/fbfmaproom2/djibouti,,,TRUE,,East Africa,Djibouti,,JAS,Design Dashboard,Released,,,Unlocked,,,,
https://iridl.ldeo.columbia.edu/fbfmaproom2/djibouti-mam,,,TRUE,,East Africa,Djibouti,,MAM,Design Dashboard,Released,,,Unlocked,,,,
https://iridl.ldeo.columbia.edu/fbfmaproom2/djibouti-ond,,,TRUE,,East Africa,Djibouti,,OND,Design Dashboard,Released,,,Unlocked,,,,
https://iridl.ldeo.columbia.edu/fbfmaproom2/djibouti-jjas,,,TRUE,,East Africa,Djibouti,,JJAS,Design Dashboard,Released,,,Unlocked,,,,
https://iridl.ldeo.columbia.edu/fbfmaproom2/lesotho,,,FALSE,,Southern Africa,Lesotho,,DJF,Design Dashboard,Released,,,Locked,,lms,maseru*newyork,
https://iridl.ldeo.columbia.edu/fbfmaproom2/lesotho-ond,,,FALSE,,Southern Africa,Lesotho,,OND,Design Dashboard,Released,,,Locked,,lms,maseru*newyork,
https://fist.iri.columbia.edu/publications/docs/Niger_AA_FLexDashboard_simplified_JAS/,,French,TRUE,,West Africa,Niger,,JAS,Public Monitoring Dashboard,Released,,,Locked,,FBFNIGER,IRI,
https://fist.iri.columbia.edu/publications/docs/Madagascar_AA_FLexDashboard_OND_2024/,,French,TRUE,,Southern Africa,Madagascar,,OND,Public Monitoring Dashboard,Draft,,,Unlocked,,,,
https://fist.iri.columbia.edu/publications/docs/BF_AA_Dashboard_JAS_Current_FR/,,French,TRUE,,West Africa,Burkina Faso,,JAS,Public Monitoring Dashboard,Draft,,,Unlocked,,,,
https://fist.iri.columbia.edu/publications/docs/Chad_AA_Dashboard_JAS_Current_FR/,,French,TRUE,,West Africa,Chad,,JAS,Public Monitoring Dashboard,Draft,,,Unlocked,,,,
https://fist.iri.columbia.edu/publications/docs/Mali_AA_Dashboard_JAS_Current_FR/,,French,TRUE,,West Africa,Mali,,JAS,Public Monitoring Dashboard,Draft,,,Unlocked,,,,
https://fist.iri.columbia.edu/publications/docs/Mauritania_AA_Dashboard_JAS_Current_FR/,,French,TRUE,,West Africa,Mauritania,,JAS,Public Monitoring Dashboard,Draft,,,Unlocked,,,,
https://fist.iri.columbia.edu/publications/docs/Niger_AA_FLexDashboard_simplified_JAS/,,French,TRUE,,West Africa,Niger,,JAS,Public Monitoring Dashboard,Draft,,,Unlocked,,,,
